OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,Total Housing Units,Occupied Housing Units,Vacant Housing Units,1-unit detached,1-unit attached,2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 to 49 units,50 or more units,Mobile home,Boat RV van etc,Low Density Housing (1-unit att - 4 units),Medium Density Housing (5-49 units),Overcrowded Units (>1 occupants/room),No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,Utility gas,Electricity,Fuel oil kerosene etc,Solar energy,No fuel used,All Other Energy Sources,Lacking compete plumbing facilities,Lacking compete kitchen facilities,No telephone service available,Household has a Computer,Household has No Computer,Household has an Internet Subscription,Household has no Internet Subscription,1 bedroom owner occupied,2 bedrooms owner occupied,3 bedrooms owner occupied,4 bedrooms owner occupied,5 or more bedrooms owner occupied,1 bedroom renter occupied,2 bedrooms renter occupied,3 bedrooms renter occupied,4 bedrooms renter occupied,5 or more bedrooms renter occupied,No bedroom owner occupied,No bedroom renter occupied,Neighborhood Type (outside comp plan areas id)
1,1,Council District 1,CD,,5Y22,50967,47425,3542,27072,3780,1164,2109,2585,2962,3945,7249,99,2,7053,9492,1036,3101,8160,13492,15207,5711,1754,17773,25759,2290,165,484,954,106,798,254,46238,1187,44939,1299,918,7113,12253,5170,1542,7242,6379,2954,541,212,237,2864,CD
2,2,Council District 2,CD,,5Y22,45242,41774,3468,23979,3205,840,1723,1430,2153,3681,8082,106,43,5768,7264,2803,4258,7233,9243,11879,6235,2926,15155,22950,1966,16,615,1072,96,652,555,39894,1880,37063,2831,691,4147,8391,5344,2371,6542,5096,3488,891,555,136,4122,CD
3,3,Council District 3,CD,,5Y22,63064,58248,4816,15416,3664,1519,1947,3301,6477,12211,18392,34,103,7130,21989,1747,10051,19568,12720,8543,4866,2500,19305,36042,788,252,765,1096,143,1169,559,56714,1534,53956,2758,2747,4637,6544,4230,1887,16821,8083,1999,636,613,406,9645,CD
4,4,Council District 4,CD,,5Y22,45286,41834,3452,20045,1976,1396,1689,2734,3427,6014,7872,72,61,5061,12175,1112,5514,8203,9281,9184,6947,2705,16555,22111,1880,178,380,730,162,1194,221,41248,586,39467,1781,591,3152,6630,5712,2306,7612,6129,2554,1235,399,245,5269,CD
5,5,Council District 5,CD,,5Y22,50120,47370,2750,23849,2864,769,1366,2730,3644,5642,9037,219,0,4999,12016,1363,3467,10216,13136,11782,6063,2706,15789,28266,2042,87,196,990,89,820,521,45735,1635,42991,2744,1007,4999,9283,5173,2333,9209,8137,2499,890,373,244,3223,CD
6,6,Council District 6,CD,,5Y22,51843,49313,2530,26220,3802,1736,1845,3898,3635,3634,6880,110,83,7383,11167,1314,4160,9778,12746,13204,7538,1887,21627,24362,2405,63,289,567,221,654,341,48153,1160,46653,1500,1833,6424,10346,6511,1657,7945,6322,2858,1027,230,347,3813,CD
7,7,Council District 7,CD,,5Y22,66214,59582,6632,7919,1686,522,1841,3267,4117,10600,36233,18,11,4049,17984,2465,13888,22687,14897,4940,2252,918,13452,43085,627,9,1254,1155,444,1149,441,58195,1387,56414,1781,3580,5493,3677,1797,681,19107,9404,1263,455,237,868,13020,CD
8,1.1,Arbor Heights,CRA,Southwest,5Y22,2838,2682,156,2611,15,39,7,7,24,116,19,0,0,61,147,6,0,116,592,1067,786,121,1408,907,276,0,0,91,0,6,9,2665,17,2644,21,27,444,969,727,114,89,148,98,59,7,0,0,CRA
9,1.2,Fauntleroy/Seaview,CRA,Southwest,5Y22,7297,6786,511,5251,329,80,272,198,270,728,169,0,0,681,1196,67,314,671,1732,2652,1071,346,3269,3008,326,16,30,137,47,241,20,6666,120,6602,64,143,840,2392,998,316,528,892,260,73,30,24,290,CRA
10,1.3,West Seattle Junction/Genesee Hill,CRA,Southwest,5Y22,11743,10878,865,5474,662,172,390,512,689,1153,2691,0,0,1224,2354,278,949,2546,2597,3201,1341,244,4342,5509,701,0,97,229,0,167,80,10658,220,10299,359,251,1459,2490,1157,228,2295,1138,711,184,16,0,949,CRA
