OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,Occupied Housing Units,Owner Households,Renter Households,Gross Rent as a Percentage of Household Income Less than 15.0%,Gross Rent as a Percentage of Household Income 15.0 to 19.9%,Gross Rent as a Percentage of Household Income 20.0 to 24.9%,Gross Rent as a Percentage of Household Income 25.0 to 29.9%,Gross Rent as a Percentage of Household Income 30.0 to 34.9%,Gross Rent as a Percentage of Household Income 35.0% or more,Gross Rent 30% or more of Household Income,Gross Rent as a Percentage of Household Income Not Computed,Owner housing units with a mortgage where selected monthly onwer costs as a percentage of household income can be computed,Selected Monthly Owner Costs as a Percentage of Household Income Less than 20.0%,Selected Monthly Owner Costs as a Percentage of Household Income 20.0 to 24.9%, Selected Monthly Owner Costs as a Percentage of Household Income 25.0 to 29.9%,Selected Monthly Owner Costs as a Percentage of Household Income 30.0 to 34.9%,Selected Monthly Owner Costs as a Percentage of Household Income 35.0% or more,Monthly Costs 30% or more of Household Income (owners with a mortgage),Housing units with a mortgage where selected monthly onwer costs a s a percentage of household income not computed,Renter housing units with gross rent,Gross Rent Less Than $500,Gross Rent $500-$999,"Gross Rent $1,000-$1,499","Gross Rent $1,500-$1,999","Gross Rent $2,000-$2,499","Gross Rent $2,500-$2,999","Gross Rent $3,000-$3,499","Gross Rent $3,500 or more",No cash rent,Owner housing units with a mortgage,"Owner Costs Less Than $1,000","Owner Costs $1,000-$1,499","Owner Costs $1,500-$1,999","Owner Costs $2,000-$2,499","Owner Costs $2,500-$2,999","Owner Costs $3,000-$3,499","Owner Costs $3,500-$3,999","Owner Costs $4,000 or more",Owner housing units without a mortgage,Neighborhood Type (outside comp plan areas id)
1,103,Crown Hill,UCUV,Residential Urban Village,5Y22,1806,1175,631,143,34,127,151,25,151,176,0,1017,499,149,137,132,100,232,0,631,65,0,114,110,216,35,63,28,0,1017,5,5,66,143,115,359,137,187,158,UCUV
2,106,Upper Queen Anne,UCUV,Residential Urban Village,5Y22,3126,1301,1825,329,169,169,446,74,617,691,21,837,382,44,138,207,66,273,0,1825,177,29,361,710,305,155,69,19,0,837,0,0,242,153,59,15,96,272,464,UCUV
3,107,Eastlake,UCUV,Residential Urban Village,5Y22,3483,1063,2420,576,454,318,283,132,573,705,84,764,398,122,103,37,104,141,0,2420,0,99,248,932,421,369,165,186,0,764,19,43,14,107,66,96,92,327,299,UCUV
4,109,23rd & Union-Jackson,UCUV,Residential Urban Village,5Y22,7245,2870,4375,585,570,544,465,592,1371,1963,248,2318,1163,296,219,125,515,640,0,4277,521,354,825,702,756,508,259,352,98,2318,227,67,160,278,392,266,276,652,552,UCUV
5,110,North Beacon Hill,UCUV,Residential Urban Village,5Y22,3134,1550,1584,174,162,135,204,138,680,818,91,940,377,245,167,24,127,151,0,1493,113,8,187,419,371,218,75,102,91,940,27,26,37,179,154,144,124,249,610,UCUV
6,111,Columbia City,UCUV,Residential Urban Village,5Y22,3482,1355,2127,260,300,176,195,309,830,1139,57,1057,640,104,106,42,165,207,0,2070,414,151,378,473,316,113,187,38,57,1057,0,31,92,244,191,167,217,115,298,UCUV
7,113,Admiral,UCUV,Residential Urban Village,5Y22,1346,740,606,37,24,36,140,17,352,369,0,582,237,131,46,22,146,168,0,606,13,59,147,249,50,7,0,81,0,582,0,81,32,68,51,76,96,178,158,UCUV
8,114,Bitter Lake Village,UCUV,Hub Urban Village,5Y22,3691,1364,2327,93,178,244,178,151,1404,1555,79,868,354,64,198,65,187,252,0,2327,475,58,608,824,176,171,15,0,0,868,41,47,97,209,275,96,47,56,496,UCUV
9,123,Othello,UCUV,Residential Urban Village,5Y22,5087,2186,2901,211,332,307,315,347,1260,1607,129,1488,672,377,76,100,263,363,0,2784,540,187,569,789,278,209,49,163,117,1488,0,88,460,293,231,217,73,126,698,UCUV
10,127,Westwood-Highland Park,UCUV,Residential Urban Village,5Y22,2467,1337,1130,146,150,185,194,61,359,420,35,1132,431,144,159,141,257,398,0,1095,95,54,377,425,67,58,19,0,35,1132,139,79,121,275,379,94,27,18,205,UCUV
